date, pm25, pm10, o3, no2, so2, co
2025/11/1, 78, 64, , 18, 1, 6
2025/11/2, 117, 82, , 23, 1, 8
2025/11/3, 159, 83, , 22, 1, 8
2025/11/4, 151, 78, , 22, , 8
2025/11/5, 137, 45, , 6, 1, 3
2025/11/6, 81, 34, , 9, , 4
2025/11/7, 76, 48, , 15, , 5
2025/11/8, 87, 54, , 15, , 4
2025/11/9, 87, 89, , 22, 1, 6
2025/11/10, 134, 88, , 20, 1, 7
2025/11/11, 142, 88, , 23, 2, 8
2025/11/12, 155, 66, , 22, , 6
2025/11/13, 109, 84, , 30, 1, 9
2025/11/14, 155, , , , , 
2025/10/1, 44, 24, , 3, , 6
2025/10/2, 51, 41, , 7, , 8
2025/10/3, 75, 22, , 4, , 7
2025/10/4, 55, 14, , 5, , 8
2025/10/5, 39, 12, , 3, , 6
2025/10/6, 29, 12, , 5, , 7
2025/10/7, 32, 38, , 6, , 10
2025/10/8, 76, 13, , 5, , 6
2025/10/9, 42, 14, , 7, , 9
2025/10/10, 29, 10, , 8, , 8
2025/10/11, 23, 10, , 7, , 8
2025/10/12, 31, 23, , 9, , 8
2025/10/13, 44, 48, , 9, , 9
2025/10/14, 89, 25, , 6, , 9
2025/10/15, 58, 37, , 7, , 7
2025/10/16, 74, 10, , 5, , 3
2025/10/17, 21, 16, , 10, , 3
2025/10/18, 23, 31, , 8, , 6
2025/10/19, 69, 23, , 7, , 5
2025/10/20, 46, 30, , 9, , 5
2025/10/21, 66, 44, , 10, , 5
2025/10/22, 84, 53, , 13, , 5
2025/10/23, 104, 53, , 11, , 7
2025/10/24, 112, 36, , 9, , 6
2025/10/25, 84, 28, , 14, , 8
2025/10/26, 59, 51, , 17, , 8
2025/10/27, 102, 60, , 20, , 9
2025/10/28, 112, 71, , 25, 1, 10
2025/10/29, 140, 64, , 18, , 8
2025/10/30, 114, 56, , 19, , 7
2025/10/31, 93, 49, , 18, 1, 5
2025/7/1, 47, 22, , 4, , 4
2025/7/2, 43, 24, , 5, , 4
2025/7/3, 46, 33, , 5, , 3
2025/7/4, 31, 23, , 3, , 3
2025/7/5, 18, 22, , 6, , 4
2025/7/6, 37, 23, , 7, , 4
2025/7/7, 28, 22, , 5, , 4
2025/7/8, 37, 32, , 5, , 5
2025/7/9, 68, 33, , 5, , 3
2025/7/10, 63, 33, , 4, , 2
2025/7/11, 67, 33, , 4, 1, 2
2025/7/12, 62, 34, , 4, , 3
2025/7/13, 61, 34, , 5, , 3
2025/7/14, 67, 30, , 5, , 3
2025/7/15, 52, 37, , 9, 1, 3
2025/7/16, 64, 36, , 5, 1, 3
2025/7/17, 54, 25, , 2, , 3
2025/7/18, 47, 32, , 3, 1, 3
2025/7/19, 52, 31, , 3, , 4
2025/7/20, 33, 26, , 5, , 4
2025/7/21, 50, 38, , 4, , 5
2025/7/22, 71, 29, , 4, 1, 4
2025/7/23, 53, 25, , 3, , 3
2025/7/24, 39, 60, , 2, , 3
2025/7/25, 41, 35, , 2, , 3
2025/7/26, 43, 23, , 3, , 4
2025/7/27, 38, 28, , 2, , 4
2025/7/28, 44, 32, , 4, , 4
2025/7/29, 48, 25, , 7, 1, 5
2025/7/30, 51, 22, , 3, 1, 4
2025/7/31, 43, 34, , 4, , 5
2025/8/1, 61, 41, , 5, , 5
2025/8/2, 65, 37, , 4, , 5
2025/8/3, 63, 35, , 4, , 6
2025/8/4, 62, 19, , 3, , 5
2025/8/5, 40, 31, , 4, , 5
2025/8/6, 55, 42, , 5, , 6
2025/8/7, 68, 28, , 5, , 6
2025/8/8, 55, 10, , 3, , 5
2025/8/9, 28, 19, , 4, , 4
2025/8/10, 34, 26, , 6, , 4
2025/8/11, 56, 34, , 6, , 4
2025/8/12, 46, 38, , 6, , 4
2025/8/13, 61, 35, , 5, 1, 4
2025/8/14, 61, 25, , 5, , 5
2025/8/15, 40, 31, , 5, 1, 4
2025/8/16, 44, 14, , 5, 1, 4
2025/8/17, 47, 14, , 3, , 3
2025/8/18, 33, 18, , 2, 1, 3
2025/8/19, 49, 22, , 4, 1, 3
2025/8/20, 41, 43, , 4, 1, 3
2025/8/21, 44, 37, , 5, 1, 3
2025/8/22, 43, 20, , 4, , 4
2025/8/23, 34, 21, , 6, , 5
2025/8/24, 52, 39, , 7, 1, 6
2025/8/25, 65, 28, , 6, 1, 5
2025/8/26, 56, 22, , 4, 1, 5
2025/8/27, 38, 17, , 3, 1, 5
2025/8/28, 27, 11, , 2, 1, 4
2025/8/29, 28, 20, , 6, , 6
2025/8/30, 45, 20, , 5, 1, 6
2025/8/31, 43, 34, , 11, 1, 6
2025/9/1, 57, 26, , 6, 1, 4
2025/9/2, 46, 35, , 5, 1, 2
2025/9/3, 70, 16, , 4, 1, 3
2025/9/4, 35, 24, , 2, 1, 1
2025/9/5, 48, 47, , 6, 1, 2
2025/9/6, 72, 53, , 11, 1, 3
2025/9/7, 76, 40, , 5, 1, 2
2025/9/8, 57, 42, , 5, 1, 2
2025/9/9, 71, 49, , 10, 1, 6
2025/9/10, 78, 22, , 5, , 6
2025/9/11, 49, 18, , 5, 1, 6
2025/9/12, 38, 29, , 9, 1, 6
2025/9/13, 58, 48, , 8, 1, 6
2025/9/14, 71, 44, , 9, 1, 6
2025/9/15, 62, 32, , 8, 1, 5
2025/9/16, 49, 17, , 5, , 5
2025/9/17, 33, 11, , 4, , 5
2025/9/18, 27, 16, , 6, , 7
2025/9/19, 39, 28, , 7, , 6
2025/9/20, 54, 15, , 5, , 4
2025/9/21, 47, 13, , 5, 1, 5
2025/9/22, 36, 9, , 6, 1, 6
